country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
Austria,AT,AUT,8858775,2020-10-20,889,145,Country_Website
Belgium,BE,BEL,11455519,2020-10-20,2969,486,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-20,1562,88,External_Github
Croatia,HR,HRV,4076246,2020-10-20,574,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-20,4417,657,Country_Website
Denmark,DK,DNK,5806081,2020-10-20,128,15,Country_Website
Estonia,EE,EST,1324820,2020-10-20,28,3,Country_API
France,FR,FRA,67012883,2020-10-20,12435,2168,Country_Website
Hungary,HU,HUN,9772756,2020-10-20,1960,197,JRC
Ireland,IE,IRL,4904240,2020-10-20,315,34,Country_Website
Italy,IT,ITA,60359546,2020-10-20,9324,870,Country_Github
Latvia,LV,LVA,1919968,2020-10-20,83,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-20,68,8,Country_Website
Netherlands,NL,NLD,17282163,2020-10-20,,476,Other Website
Norway,NO,NOR,5328212,2020-10-20,29,,Country_API
Poland,PL,POL,37972812,2020-10-20,8962,,Country_Website
Portugal,PT,PRT,10276617,2020-10-20,1237,176,Country_Website
Romania,RO,ROU,19414458,2020-10-20,,768,Country_Website
Slovakia,SK,SVK,5450421,2020-10-20,724,,JRC
Slovenia,SI,SVN,2080908,2020-10-20,313,55,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-20,7501,,Country_Website
Austria,AT,AUT,8858775,2020-10-19,799,145,Country_Website
Belgium,BE,BEL,11455519,2020-10-19,2773,446,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-19,1500,74,External_Github
Croatia,HR,HRV,4076246,2020-10-19,571,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-19,4064,634,Country_Website
Denmark,DK,DNK,5806081,2020-10-19,129,18,Country_Website
Estonia,EE,EST,1324820,2020-10-19,29,2,Country_API
Finland,FI,FIN,5517919,2020-10-19,62,7,External_Github
France,FR,FRA,67012883,2020-10-19,11640,2090,Country_Website
Hungary,HU,HUN,9772756,2020-10-19,1896,188,JRC
Ireland,IE,IRL,4904240,2020-10-19,298,32,Country_Website
Italy,IT,ITA,60359546,2020-10-19,8473,797,Country_Github
Latvia,LV,LVA,1919968,2020-10-19,80,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-19,61,5,Country_Website
Netherlands,NL,NLD,17282163,2020-10-19,,448,Other Website
Norway,NO,NOR,5328212,2020-10-19,28,,Country_API
Poland,PL,POL,37972812,2020-10-19,8375,,Country_Website
Portugal,PT,PRT,10276617,2020-10-19,1174,165,Country_Website
Romania,RO,ROU,19414458,2020-10-19,,757,Country_Website
Slovakia,SK,SVK,5450421,2020-10-19,638,,JRC
Slovenia,SI,SVN,2080908,2020-10-19,291,56,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-19,6991,,Country_Website
Austria,AT,AUT,8858775,2020-10-18,742,135,Country_Website
Belgium,BE,BEL,11455519,2020-10-18,2497,412,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-18,1484,79,External_Github
Croatia,HR,HRV,4076246,2020-10-18,548,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-18,3721,589,Country_Website
Denmark,DK,DNK,5806081,2020-10-18,119,17,Country_Website
Estonia,EE,EST,1324820,2020-10-18,35,3,Country_API
France,FR,FRA,67012883,2020-10-18,10897,1939,Country_Website
Hungary,HU,HUN,9772756,2020-10-18,1712,179,JRC
Ireland,IE,IRL,4904240,2020-10-18,274,31,Country_Website
Italy,IT,ITA,60359546,2020-10-18,7881,750,Country_Github
Latvia,LV,LVA,1919968,2020-10-18,72,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-18,57,4,Country_Website
Netherlands,NL,NLD,17282163,2020-10-18,,409,Other Website
Poland,PL,POL,37972812,2020-10-18,8076,,Country_Website
Portugal,PT,PRT,10276617,2020-10-18,1086,155,Country_Website
Romania,RO,ROU,19414458,2020-10-18,,749,Country_Website
Slovakia,SK,SVK,5450421,2020-10-18,633,,JRC
Slovenia,SI,SVN,2080908,2020-10-18,265,49,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-18,6516,,Country_Website
Austria,AT,AUT,8858775,2020-10-17,724,130,Country_Website
Belgium,BE,BEL,11455519,2020-10-17,2267,384,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-17,1450,76,External_Github
Croatia,HR,HRV,4076246,2020-10-17,530,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-17,3519,587,Country_Website
Denmark,DK,DNK,5806081,2020-10-17,110,16,Country_Website
Estonia,EE,EST,1324820,2020-10-17,32,3,Country_API
France,FR,FRA,67012883,2020-10-17,10399,1868,Country_Website
Hungary,HU,HUN,9772756,2020-10-17,1693,185,JRC
Ireland,IE,IRL,4904240,2020-10-17,260,30,Country_Website
Italy,IT,ITA,60359546,2020-10-17,7322,705,Country_Github
Latvia,LV,LVA,1919968,2020-10-17,69,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-17,53,4,Country_Website
Netherlands,NL,NLD,17282163,2020-10-17,,389,Other Website
Poland,PL,POL,37972812,2020-10-17,1612,,Country_Website
Portugal,PT,PRT,10276617,2020-10-17,1012,148,Country_Website
Romania,RO,ROU,19414458,2020-10-17,,745,Country_Website
Slovakia,SK,SVK,5450421,2020-10-17,614,,JRC
Slovenia,SI,SVN,2080908,2020-10-17,250,44,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-17,6251,,Country_Website
Austria,AT,AUT,8858775,2020-10-16,706,122,Country_Website
Belgium,BE,BEL,11455519,2020-10-16,2099,358,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-16,1426,74,External_Github
Croatia,HR,HRV,4076246,2020-10-16,505,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-16,3415,596,Country_Website
Denmark,DK,DNK,5806081,2020-10-16,110,16,Country_Website
Estonia,EE,EST,1324820,2020-10-16,32,3,Country_API
Finland,FI,FIN,5517919,2020-10-16,56,6,External_Github
France,FR,FRA,67012883,2020-10-16,10021,1791,Country_Website
Hungary,HU,HUN,9772756,2020-10-16,1642,171,JRC
Ireland,IE,IRL,4904240,2020-10-16,244,30,Country_Website
Italy,IT,ITA,60359546,2020-10-16,6816,638,Country_Github
Latvia,LV,LVA,1919968,2020-10-16,63,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-16,49,4,Country_Website
Netherlands,NL,NLD,17282163,2020-10-16,,394,Other Website
Norway,NO,NOR,5328212,2020-10-16,28,,Country_API
Poland,PL,POL,37972812,2020-10-16,6980,,Country_Website
Portugal,PT,PRT,10276617,2020-10-16,1015,144,Country_Website
Romania,RO,ROU,19414458,2020-10-16,,726,Country_Website
Slovakia,SK,SVK,5450421,2020-10-16,540,,JRC
Slovenia,SI,SVN,2080908,2020-10-16,240,43,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-16,6017,,Country_Website
Austria,AT,AUT,8858775,2020-10-15,664,119,Country_Website
Belgium,BE,BEL,11455519,2020-10-15,1951,327,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-15,1380,67,External_Github
Croatia,HR,HRV,4076246,2020-10-15,439,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-15,3120,551,Country_Website
Denmark,DK,DNK,5806081,2020-10-15,104,17,Country_Website
Estonia,EE,EST,1324820,2020-10-15,36,3,Country_API
France,FR,FRA,67012883,2020-10-15,9584,1741,Country_Website
Hungary,HU,HUN,9772756,2020-10-15,1555,167,JRC
Ireland,IE,IRL,4904240,2020-10-15,238,29,Country_Website
Italy,IT,ITA,60359546,2020-10-15,6382,586,Country_Github
Latvia,LV,LVA,1919968,2020-10-15,70,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-15,41,4,Country_Website
Netherlands,NL,NLD,17282163,2020-10-15,,358,Other Website
Norway,NO,NOR,5328212,2020-10-15,24,,Country_API
Poland,PL,POL,37972812,2020-10-15,6538,,Country_Website
Portugal,PT,PRT,10276617,2020-10-15,993,139,Country_Website
Romania,RO,ROU,19414458,2020-10-15,,721,Country_Website
Slovakia,SK,SVK,5450421,2020-10-15,476,,JRC
Slovenia,SI,SVN,2080908,2020-10-15,222,40,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-15,5673,,Country_Website
Belgium,BE,BEL,11455519,2020-10-14,1778,313,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-14,1307,64,External_Github
Croatia,HR,HRV,4076246,2020-10-14,441,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-14,2920,543,Country_Website
Denmark,DK,DNK,5806081,2020-10-14,104,17,Country_Website
Estonia,EE,EST,1324820,2020-10-14,35,3,Country_API
Finland,FI,FIN,5517919,2020-10-14,48,8,External_Github
France,FR,FRA,67012883,2020-10-14,9173,1664,Country_Website
Hungary,HU,HUN,9772756,2020-10-14,1538,156,JRC
Ireland,IE,IRL,4904240,2020-10-14,234,30,Country_Website
Italy,IT,ITA,60359546,2020-10-14,6009,539,Country_Github
Latvia,LV,LVA,1919968,2020-10-14,75,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-14,44,4,Country_Website
Netherlands,NL,NLD,17282163,2020-10-14,,340,Other Website
Norway,NO,NOR,5328212,2020-10-14,23,,Country_API
Poland,PL,POL,37972812,2020-10-14,6084,,Country_Website
Portugal,PT,PRT,10276617,2020-10-14,957,135,Country_Website
Romania,RO,ROU,19414458,2020-10-14,,686,Country_Website
Slovakia,SK,SVK,5450421,2020-10-14,397,,JRC
Slovenia,SI,SVN,2080908,2020-10-14,210,35,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-14,5376,,Country_Website
Belgium,BE,BEL,11455519,2020-10-13,1621,281,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-13,1221,65,External_Github
Croatia,HR,HRV,4076246,2020-10-13,424,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-13,2678,518,Country_Website
Denmark,DK,DNK,5806081,2020-10-13,103,19,Country_Website
Estonia,EE,EST,1324820,2020-10-13,34,3,Country_API
France,FR,FRA,67012883,2020-10-13,8928,1633,Country_Website
Hungary,HU,HUN,9772756,2020-10-13,1519,160,JRC
Ireland,IE,IRL,4904240,2020-10-13,240,31,Country_Website
Italy,IT,ITA,60359546,2020-10-13,5590,514,Country_Github
Latvia,LV,LVA,1919968,2020-10-13,70,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-13,46,3,Country_Website
Netherlands,NL,NLD,17282163,2020-10-13,,321,Other Website
Norway,NO,NOR,5328212,2020-10-13,27,,Country_API
Poland,PL,POL,37972812,2020-10-13,5669,,Country_Website
Portugal,PT,PRT,10276617,2020-10-13,916,132,Country_Website
Romania,RO,ROU,19414458,2020-10-13,,651,Country_Website
Slovakia,SK,SVK,5450421,2020-10-13,397,,JRC
Slovenia,SI,SVN,2080908,2020-10-13,180,31,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-13,5030,,Country_Website
Belgium,BE,BEL,11455519,2020-10-12,1473,268,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-12,1205,62,External_Github
Croatia,HR,HRV,4076246,2020-10-12,404,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-12,2503,467,Country_Website
Denmark,DK,DNK,5806081,2020-10-12,107,19,Country_Website
Estonia,EE,EST,1324820,2020-10-12,32,5,Country_API
Finland,FI,FIN,5517919,2020-10-12,46,10,External_Github
France,FR,FRA,67012883,2020-10-12,8671,1539,Country_Website
Hungary,HU,HUN,9772756,2020-10-12,1418,154,JRC
Ireland,IE,IRL,4904240,2020-10-12,221,32,Country_Website
Italy,IT,ITA,60359546,2020-10-12,5273,452,Country_Github
Latvia,LV,LVA,1919968,2020-10-12,65,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-12,40,3,Country_Website
Netherlands,NL,NLD,17282163,2020-10-12,,301,Other Website
Norway,NO,NOR,5328212,2020-10-12,31,,Country_API
Poland,PL,POL,37972812,2020-10-12,5262,,Country_Website
Portugal,PT,PRT,10276617,2020-10-12,877,128,Country_Website
Romania,RO,ROU,19414458,2020-10-12,,628,Country_Website
Slovakia,SK,SVK,5450421,2020-10-12,393,,JRC
Slovenia,SI,SVN,2080908,2020-10-12,172,26,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-12,4741,,Country_Website
Belgium,BE,BEL,11455519,2020-10-11,1331,243,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-11,1189,59,External_Github
Croatia,HR,HRV,4076246,2020-10-11,384,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-11,2146,426,Country_Website
Denmark,DK,DNK,5806081,2020-10-11,102,19,Country_Website
Estonia,EE,EST,1324820,2020-10-11,32,5,Country_API
France,FR,FRA,67012883,2020-10-11,8231,1483,Country_Website
Hungary,HU,HUN,9772756,2020-10-11,1252,138,JRC
Ireland,IE,IRL,4904240,2020-10-11,201,30,Country_Website
Italy,IT,ITA,60359546,2020-10-11,4939,420,Country_Github
Latvia,LV,LVA,1919968,2020-10-11,61,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-11,36,3,Country_Website
Netherlands,NL,NLD,17282163,2020-10-11,,279,Other Website
Poland,PL,POL,37972812,2020-10-11,4924,,Country_Website
Portugal,PT,PRT,10276617,2020-10-11,843,124,Country_Website
Romania,RO,ROU,19414458,2020-10-11,,628,Country_Website
Slovakia,SK,SVK,5450421,2020-10-11,388,,JRC
Slovenia,SI,SVN,2080908,2020-10-11,158,27,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-11,4465,,Country_Website
Belgium,BE,BEL,11455519,2020-10-10,1257,226,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-10,1131,58,External_Github
Croatia,HR,HRV,4076246,2020-10-10,382,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-10,2106,438,Country_Website
Denmark,DK,DNK,5806081,2020-10-10,103,20,Country_Website
Estonia,EE,EST,1324820,2020-10-10,31,5,Country_API
France,FR,FRA,67012883,2020-10-10,7976,1456,Country_Website
Hungary,HU,HUN,9772756,2020-10-10,1174,110,JRC
Ireland,IE,IRL,4904240,2020-10-10,194,30,Country_Website
Italy,IT,ITA,60359546,2020-10-10,4726,390,Country_Github
Latvia,LV,LVA,1919968,2020-10-10,52,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-10,34,2,Country_Website
Netherlands,NL,NLD,17282163,2020-10-10,,274,Other Website
Poland,PL,POL,37972812,2020-10-10,4725,,Country_Website
Portugal,PT,PRT,10276617,2020-10-10,831,122,Country_Website
Romania,RO,ROU,19414458,2020-10-10,,629,Country_Website
Slovakia,SK,SVK,5450421,2020-10-10,380,,JRC
Slovenia,SI,SVN,2080908,2020-10-10,149,21,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-10,4166,,Country_Website
Belgium,BE,BEL,11455519,2020-10-09,1189,212,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-09,1063,56,External_Github
Croatia,HR,HRV,4076246,2020-10-09,385,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-09,2085,408,Country_Website
Denmark,DK,DNK,5806081,2020-10-09,106,18,Country_Website
Estonia,EE,EST,1324820,2020-10-09,30,5,Country_API
Finland,FI,FIN,5517919,2020-10-09,37,5,External_Github
France,FR,FRA,67012883,2020-10-09,7843,1439,Country_Website
Hungary,HU,HUN,9772756,2020-10-09,993,82,JRC
Ireland,IE,IRL,4904240,2020-10-09,179,31,Country_Website
Italy,IT,ITA,60359546,2020-10-09,4473,387,Country_Github
Latvia,LV,LVA,1919968,2020-10-09,47,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-09,34,1,Country_Website
Netherlands,NL,NLD,17282163,2020-10-09,,274,Other Website
Norway,NO,NOR,5328212,2020-10-09,23,,Country_API
Poland,PL,POL,37972812,2020-10-09,4407,,Country_Website
Portugal,PT,PRT,10276617,2020-10-09,811,125,Country_Website
Romania,RO,ROU,19414458,2020-10-09,,613,Country_Website
Slovakia,SK,SVK,5450421,2020-10-09,370,,JRC
Slovenia,SI,SVN,2080908,2020-10-09,138,23,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-09,3979,,Country_Website
Belgium,BE,BEL,11455519,2020-10-08,1110,213,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-08,1033,53,External_Github
Croatia,HR,HRV,4076246,2020-10-08,361,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-08,1893,412,Country_Website
Denmark,DK,DNK,5806081,2020-10-08,115,17,Country_Website
Estonia,EE,EST,1324820,2020-10-08,36,5,Country_API
France,FR,FRA,67012883,2020-10-08,7603,1418,Country_Website
Hungary,HU,HUN,9772756,2020-10-08,804,56,JRC
Ireland,IE,IRL,4904240,2020-10-08,159,25,Country_Website
Italy,IT,ITA,60359546,2020-10-08,4283,358,Country_Github
Latvia,LV,LVA,1919968,2020-10-08,42,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-08,24,1,Country_Website
Netherlands,NL,NLD,17282163,2020-10-08,,257,Other Website
Norway,NO,NOR,5328212,2020-10-08,27,,Country_API
Poland,PL,POL,37972812,2020-10-08,4138,,Country_Website
Portugal,PT,PRT,10276617,2020-10-08,801,115,Country_Website
Romania,RO,ROU,19414458,2020-10-08,,607,Country_Website
Slovakia,SK,SVK,5450421,2020-10-08,352,,JRC
Slovenia,SI,SVN,2080908,2020-10-08,131,21,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-08,3904,,Country_Website
Austria,AT,AUT,8858775,2020-10-07,525,100,Country_Website
Belgium,BE,BEL,11455519,2020-10-07,1050,201,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-07,971,57,External_Github
Croatia,HR,HRV,4076246,2020-10-07,344,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-07,1741,366,Country_Website
Denmark,DK,DNK,5806081,2020-10-07,116,15,Country_Website
Estonia,EE,EST,1324820,2020-10-07,45,5,Country_API
Finland,FI,FIN,5517919,2020-10-07,31,5,External_Github
France,FR,FRA,67012883,2020-10-07,7514,1406,Country_Website
Hungary,HU,HUN,9772756,2020-10-07,656,41,JRC
Ireland,IE,IRL,4904240,2020-10-07,156,27,Country_Website
Italy,IT,ITA,60359546,2020-10-07,4119,337,Country_Github
Latvia,LV,LVA,1919968,2020-10-07,34,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-07,22,2,Country_Website
Netherlands,NL,NLD,17282163,2020-10-07,,251,Other Website
Norway,NO,NOR,5328212,2020-10-07,25,,Country_API
Poland,PL,POL,37972812,2020-10-07,4000,,Country_Website
Portugal,PT,PRT,10276617,2020-10-07,764,104,Country_Website
Romania,RO,ROU,19414458,2020-10-07,,612,Country_Website
Slovakia,SK,SVK,5450421,2020-10-07,340,,JRC
Slovenia,SI,SVN,2080908,2020-10-07,122,22,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-07,3729,,Country_Website
Austria,AT,AUT,8858775,2020-10-06,498,101,Country_Website
Belgium,BE,BEL,11455519,2020-10-06,952,189,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-06,930,59,External_Github
Croatia,HR,HRV,4076246,2020-10-06,334,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-06,1563,354,Country_Website
Denmark,DK,DNK,5806081,2020-10-06,124,15,Country_Website
Estonia,EE,EST,1324820,2020-10-06,39,5,Country_API
France,FR,FRA,67012883,2020-10-06,7377,1417,Country_Website
Hungary,HU,HUN,9772756,2020-10-06,627,37,JRC
Ireland,IE,IRL,4904240,2020-10-06,150,24,Country_Website
Italy,IT,ITA,60359546,2020-10-06,3944,319,Country_Github
Latvia,LV,LVA,1919968,2020-10-06,32,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-06,21,2,Country_Website
Netherlands,NL,NLD,17282163,2020-10-06,,238,Other Website
Norway,NO,NOR,5328212,2020-10-06,22,,Country_API
Poland,PL,POL,37972812,2020-10-06,3719,,Country_Website
Portugal,PT,PRT,10276617,2020-10-06,732,104,Country_Website
Romania,RO,ROU,19414458,2020-10-06,,608,Country_Website
Slovakia,SK,SVK,5450421,2020-10-06,311,,JRC
Slovenia,SI,SVN,2080908,2020-10-06,111,20,Country_Github
United Kingdom,UK,GBR,66647112,2020-10-06,3480,,Country_Website
Austria,AT,AUT,8858775,2020-10-05,488,101,Country_Website
Belgium,BE,BEL,11455519,2020-10-05,937,195,Country_Website
Bulgaria,BG,BGR,7000039,2020-10-05,917,56,External_Github
Croatia,HR,HRV,4076246,2020-10-05,326,,Country_Website
Czechia,CZ,CZE,10649800,2020-10-05,1387,326,Country_Website
Denmark,DK,DNK,5806081,2020-10-05,120,17,Country_Website
Estonia,EE,EST,1324820,2020-10-05,40,5,Country_API
Finland,FI,FIN,5517919,2020-10-05,28,8,External_Github
France,FR,FRA,67012883,2020-10-05,7276,1409,Country_Website
Hungary,HU,HUN,9772756,2020-10-05,649,40,JRC
Ireland,IE,IRL,4904240,2020-10-05,150,23,Country_Website
Italy,IT,ITA,60359546,2020-10-05,3810,323,Country_Github
Latvia,LV,LVA,1919968,2020-10-05,28,,Country_Website
Luxembourg,LU,LUX,613894,2020-10-05,22,1,Country_Website
Netherlands,NL,NLD,17282163,2020-10-05,,217,Other Website
